rating_id,trip_id,rider_rating_for_driver,driver_rating_for_rider,feedback_text
11278,11278,,,
11284,11284,4,4,
11285,11285,,,Driver was very polite
11286,11286,5,4,Smooth trip
11287,11287,4,4,Smooth trip
11289,11289,5,5,
11290,11290,,,Took a longer route than expected
11291,11291,5,4,A bit late to pickup
11293,11293,4,3,
11294,11294,4,5,Driver was very polite
11295,11295,4,4,Excellent service
11296,11296,5,4,
11297,11297,5,4,
11299,11299,4,5,
11300,11300,,,Driver was very polite
11301,11301,2,4,"Great ride, on time!"
11302,11302,5,4,"Great ride, on time!"
11303,11303,4,5,Took a longer route than expected
11304,11304,,,Took a longer route than expected
11305,11305,4,5,
11306,11306,3,5,Car could be cleaner
11308,11308,4,3,Took a longer route than expected
11310,11310,4,5,Driver was very polite
11311,11311,4,4,Smooth trip
11312,11312,4,5,Took a longer route than expected
11313,11313,4,5,Car could be cleaner
11314,11314,4,4,Took a longer route than expected
11315,11315,4,4,
11316,11316,5,4,A bit late to pickup
11317,11317,5,4,Car could be cleaner
11318,11318,,,Excellent service
11320,11320,5,5,Smooth trip
11321,11321,5,5,Excellent service
11322,11322,4,4,"Great ride, on time!"
11323,11323,4,4,
11324,11324,3,5,
11325,11325,4,4,
11326,11326,5,4,Driver was very polite
11327,11327,,,Smooth trip
11328,11328,4,5,Took a longer route than expected
11329,11329,4,3,Took a longer route than expected
11330,11330,4,3,
11331,11331,3,3,Driver was very polite
11332,11332,5,5,Excellent service
11333,11333,5,5,Driver was very polite
11334,11334,5,5,
11336,11336,3,5,Took a longer route than expected
11337,11337,4,4,Smooth trip
11338,11338,5,5,Car could be cleaner
11340,11340,4,4,Car could be cleaner
11342,11342,4,5,Excellent service
11343,11343,3,4,Excellent service
11344,11344,,,
11345,11345,4,4,Excellent service
11347,11347,4,4,
11350,11350,,,Took a longer route than expected
11352,11352,4,5,
11354,11354,5,4,
11355,11355,4,3,Car could be cleaner
11357,11357,5,4,A bit late to pickup
11358,11358,,,Took a longer route than expected
11362,11362,5,4,Smooth trip
11363,11363,5,5,
11366,11366,4,5,
11367,11367,,,
11370,11370,4,4,Excellent service
11371,11371,4,4,Excellent service
11372,11372,5,4,Driver was very polite
11373,11373,4,5,A bit late to pickup
11374,11374,5,5,
11376,11376,,,
11378,11378,5,4,Car could be cleaner
11379,11379,4,5,
11381,11381,,,"Great ride, on time!"
11382,11382,,,
11384,11384,4,4,Took a longer route than expected
11387,11387,5,5,"Great ride, on time!"
11388,11388,,,Smooth trip
11390,11390,5,5,Car could be cleaner
11392,11392,4,5,Took a longer route than expected
11393,11393,4,4,Took a longer route than expected
11394,11394,4,4,"Great ride, on time!"
11395,11395,5,5,Driver was very polite
11396,11396,4,5,
11397,11397,5,4,Car could be cleaner
11399,11399,4,5,
11401,11401,3,4,Smooth trip
11403,11403,,,Driver was very polite
11404,11404,,,"Great ride, on time!"
11405,11405,4,5,Driver was very polite
11407,11407,4,5,Driver was very polite
11408,11408,,,
11409,11409,,,
11410,11410,5,3,
11411,11411,5,5,
11413,11413,5,5,Car could be cleaner
11414,11414,4,4,
11415,11415,5,5,
11416,11416,5,5,
11417,11417,5,5,"Great ride, on time!"
11418,11418,4,5,Driver was very polite
11419,11419,5,4,Excellent service
11420,11420,5,4,Car could be cleaner
11422,11422,,,Driver was very polite
11423,11423,4,4,Driver was very polite
11424,11424,5,4,Car could be cleaner
11426,11426,5,4,Excellent service
11427,11427,4,5,Smooth trip
11428,11428,,,A bit late to pickup
11429,11429,3,5,Excellent service
11430,11430,4,5,
11432,11432,,,Car could be cleaner
11434,11434,5,5,Excellent service
11435,11435,5,5,
11436,11436,4,4,Car could be cleaner
11438,11438,,,
11439,11439,4,4,A bit late to pickup
11440,11440,,,Smooth trip
11441,11441,5,5,"Great ride, on time!"
11442,11442,4,5,Took a longer route than expected
11443,11443,4,5,
11444,11444,,,Driver was very polite
11446,11446,4,4,
11448,11448,5,5,Took a longer route than expected
11449,11449,4,4,Took a longer route than expected
11450,11450,4,4,Car could be cleaner
11451,11451,4,5,Took a longer route than expected
11452,11452,5,5,"Great ride, on time!"
11453,11453,3,5,
11454,11454,,,
11456,11456,4,5,A bit late to pickup
11457,11457,5,3,
11458,11458,3,4,Excellent service
11459,11459,4,4,A bit late to pickup
11460,11460,4,4,Smooth trip
11461,11461,5,4,Excellent service
11462,11462,4,5,A bit late to pickup
11463,11463,5,3,
11464,11464,,,Driver was very polite
11465,11465,,,A bit late to pickup
11466,11466,5,4,
11467,11467,,,
11468,11468,5,5,
11469,11469,4,4,Car could be cleaner
11471,11471,4,4,Smooth trip
11472,11472,,,Car could be cleaner
11473,11473,5,4,Took a longer route than expected
11474,11474,,,A bit late to pickup
11476,11476,3,4,
11477,11477,5,5,
11478,11478,5,4,A bit late to pickup
11479,11479,3,5,"Great ride, on time!"
11480,11480,5,5,
11481,11481,5,5,A bit late to pickup
11482,11482,4,4,A bit late to pickup
11483,11483,5,5,Excellent service
11484,11484,5,4,Smooth trip
11485,11485,5,5,
11486,11486,5,4,"Great ride, on time!"
11487,11487,5,4,
11488,11488,,,
11489,11489,5,4,Excellent service
11491,11491,,,
11492,11492,5,4,
11493,11493,5,5,Smooth trip
11494,11494,5,4,"Great ride, on time!"
11495,11495,4,4,"Great ride, on time!"
11496,11496,5,5,
11497,11497,3,4,
11498,11498,4,5,
11499,11499,4,4,A bit late to pickup
11501,11501,3,4,Driver was very polite
11502,11502,4,5,Driver was very polite
11503,11503,4,4,"Great ride, on time!"
11504,11504,4,5,
11505,11505,4,5,Excellent service
11506,11506,5,4,Took a longer route than expected
11507,11507,4,5,
11508,11508,4,4,Took a longer route than expected
11509,11509,4,5,Car could be cleaner
11510,11510,5,5,"Great ride, on time!"
11511,11511,4,4,Took a longer route than expected
11512,11512,3,5,"Great ride, on time!"
11513,11513,5,5,Car could be cleaner
11515,11515,,,
11517,11517,4,4,Took a longer route than expected
11518,11518,,,
11519,11519,4,5,
11520,11520,,,A bit late to pickup
11523,11523,,,
11524,11524,,,
11525,11525,5,4,A bit late to pickup
11526,11526,4,5,Took a longer route than expected
11527,11527,4,5,Smooth trip
11528,11528,3,5,Took a longer route than expected
11529,11529,,,
11530,11530,5,5,
11532,11532,,,A bit late to pickup
11533,11533,5,5,Car could be cleaner
11534,11534,,,"Great ride, on time!"
11535,11535,5,4,Excellent service
11536,11536,,,
11537,11537,,,Excellent service
11538,11538,4,4,
11539,11539,,,Car could be cleaner
11540,11540,5,5,Smooth trip
11541,11541,4,4,Smooth trip
11542,11542,5,4,"Great ride, on time!"
11543,11543,3,4,
11544,11544,5,4,
11545,11545,5,5,
11546,11546,5,5,"Great ride, on time!"
11548,11548,4,4,
11549,11549,,,
11551,11551,4,5,"Great ride, on time!"
11552,11552,5,4,
11553,11553,4,4,Excellent service
11554,11554,,,
11556,11556,,,Smooth trip
11557,11557,5,4,
11558,11558,4,5,
11559,11559,4,5,
11560,11560,4,5,"Great ride, on time!"
11562,11562,5,5,Car could be cleaner
11563,11563,5,4,
11567,11567,4,5,Took a longer route than expected
11568,11568,,,A bit late to pickup
11570,11570,5,5,Took a longer route than expected
11571,11571,4,5,
11572,11572,4,5,Smooth trip
11574,11574,4,4,Smooth trip
11576,11576,3,4,A bit late to pickup
11577,11577,4,4,Took a longer route than expected
11580,11580,,,
11582,11582,,,Took a longer route than expected
11584,11584,5,3,Driver was very polite
11585,11585,4,5,Took a longer route than expected
11586,11586,5,5,Car could be cleaner
11587,11587,4,4,"Great ride, on time!"
11588,11588,5,4,Took a longer route than expected
11589,11589,4,5,Driver was very polite
11590,11590,,,Excellent service
11591,11591,4,4,Excellent service
11592,11592,5,5,
11593,11593,,,Smooth trip
11594,11594,5,3,
11597,11597,,,
11598,11598,4,5,Driver was very polite
11600,11600,5,4,A bit late to pickup
11602,11602,5,4,
11603,11603,5,4,A bit late to pickup
11605,11605,4,4,"Great ride, on time!"
11607,11607,,,
11608,11608,5,4,
11610,11610,4,4,Smooth trip
11611,11611,4,5,A bit late to pickup
11612,11612,5,4,Took a longer route than expected
11613,11613,,,"Great ride, on time!"
11614,11614,,,Driver was very polite
11615,11615,3,5,Took a longer route than expected
11616,11616,5,5,Excellent service
11617,11617,3,5,Driver was very polite
11618,11618,,,
11620,11620,5,4,Excellent service
11621,11621,5,4,
11622,11622,5,5,Driver was very polite
11623,11623,4,3,
11625,11625,5,4,
11626,11626,4,4,
11628,11628,4,5,Smooth trip
11629,11629,5,5,
11630,11630,4,4,Smooth trip
11631,11631,4,5,Car could be cleaner
11633,11633,4,5,Driver was very polite
11635,11635,4,4,Smooth trip
11636,11636,4,4,Smooth trip
11638,11638,5,5,A bit late to pickup
11639,11639,4,5,Car could be cleaner
11640,11640,5,4,"Great ride, on time!"
11641,11641,5,5,
11642,11642,5,5,Car could be cleaner
11643,11643,4,5,Smooth trip
11644,11644,5,5,Smooth trip
11645,11645,5,5,
11646,11646,4,4,
11647,11647,5,4,Car could be cleaner
11648,11648,4,4,A bit late to pickup
11649,11649,5,4,
11650,11650,3,5,Driver was very polite
11651,11651,5,5,Excellent service
11652,11652,5,5,Smooth trip
11653,11653,4,4,"Great ride, on time!"
11654,11654,4,4,Driver was very polite
11655,11655,4,5,Driver was very polite
11656,11656,4,5,Took a longer route than expected
11658,11658,5,4,Driver was very polite
11659,11659,,,Smooth trip
11660,11660,,,
11661,11661,5,5,
11662,11662,4,5,Driver was very polite
11663,11663,,,
11664,11664,4,4,"Great ride, on time!"
11665,11665,5,4,
11666,11666,4,4,A bit late to pickup
11667,11667,5,4,
11668,11668,4,5,A bit late to pickup
11669,11669,4,4,"Great ride, on time!"
11670,11670,,,A bit late to pickup
11671,11671,,,
11672,11672,,,Driver was very polite
11673,11673,,,Car could be cleaner
11675,11675,,,Took a longer route than expected
11676,11676,5,4,A bit late to pickup
11677,11677,4,5,
11678,11678,3,5,Car could be cleaner
11679,11679,4,5,Excellent service
11680,11680,3,5,A bit late to pickup
11681,11681,5,4,Car could be cleaner
11685,11685,3,5,
11686,11686,5,5,Excellent service
11689,11689,3,4,Excellent service
11690,11690,4,5,Excellent service
11691,11691,3,5,A bit late to pickup
11692,11692,,,Car could be cleaner
11693,11693,4,4,
11695,11695,5,4,
11696,11696,4,4,Excellent service
11697,11697,5,4,
11698,11698,5,4,"Great ride, on time!"
11699,11699,4,4,
11700,11700,4,5,
11701,11701,5,4,A bit late to pickup
11702,11702,5,4,Car could be cleaner
11703,11703,4,4,
11704,11704,5,5,"Great ride, on time!"
11705,11705,4,4,Smooth trip
11706,11706,5,4,Driver was very polite
11707,11707,5,5,
11708,11708,4,5,Excellent service
11710,11710,,,Smooth trip
11711,11711,5,4,Car could be cleaner
11712,11712,4,4,Took a longer route than expected
11713,11713,,,"Great ride, on time!"
11714,11714,3,5,Took a longer route than expected
11715,11715,,,Driver was very polite
11717,11717,5,5,"Great ride, on time!"
11720,11720,,,"Great ride, on time!"
11721,11721,5,4,A bit late to pickup
11724,11724,5,4,Took a longer route than expected
11725,11725,4,4,A bit late to pickup
11726,11726,4,5,Car could be cleaner
11727,11727,4,5,Driver was very polite
11728,11728,4,3,Driver was very polite
11730,11730,4,4,Driver was very polite
11731,11731,,,Excellent service
11732,11732,4,4,
11733,11733,4,5,Excellent service
11734,11734,,,"Great ride, on time!"
11736,11736,5,4,
11739,11739,3,4,Car could be cleaner
11740,11740,3,4,Car could be cleaner
11741,11741,5,4,"Great ride, on time!"
11743,11743,3,5,Excellent service
11744,11744,4,4,
11746,11746,4,5,
11747,11747,4,4,A bit late to pickup
11748,11748,,,Car could be cleaner
11749,11749,5,4,
11750,11750,4,5,Driver was very polite
11755,11755,,,Car could be cleaner
11756,11756,5,5,
11757,11757,3,4,
11758,11758,5,4,Driver was very polite
11759,11759,,,"Great ride, on time!"
11760,11760,2,4,
11762,11762,5,5,
11763,11763,3,4,
11764,11764,5,5,Smooth trip
11765,11765,4,4,Excellent service
11766,11766,4,4,Car could be cleaner
11767,11767,,,Car could be cleaner
11770,11770,,,Took a longer route than expected
11772,11772,,,
11774,11774,5,4,Smooth trip
11775,11775,4,4,Car could be cleaner
11776,11776,4,5,
11777,11777,5,4,
11778,11778,,,
11779,11779,4,3,Took a longer route than expected
11780,11780,,,Excellent service
11782,11782,4,4,
11783,11783,,,
11784,11784,4,5,Excellent service
11785,11785,,,Driver was very polite
11786,11786,,,
11787,11787,5,3,Driver was very polite
11789,11789,4,5,Driver was very polite
11790,11790,4,4,
11791,11791,4,4,"Great ride, on time!"
11793,11793,,,
11794,11794,,,
11795,11795,4,4,
11796,11796,4,4,A bit late to pickup
11798,11798,5,5,Smooth trip
11799,11799,4,5,"Great ride, on time!"
11800,11800,3,4,Excellent service
11801,11801,5,5,
11802,11802,5,5,Excellent service
11804,11804,5,5,Smooth trip
11805,11805,,,Took a longer route than expected
11807,11807,5,4,Driver was very polite
11808,11808,4,5,A bit late to pickup
11812,11812,5,5,"Great ride, on time!"
11813,11813,4,5,Car could be cleaner
11814,11814,,,A bit late to pickup
11815,11815,4,5,Driver was very polite
11816,11816,5,4,
11817,11817,5,4,Excellent service
11818,11818,3,5,
11819,11819,4,4,A bit late to pickup
11820,11820,5,4,Driver was very polite
11821,11821,4,5,Smooth trip
11822,11822,4,5,
11824,11824,4,4,Took a longer route than expected
11825,11825,4,4,Smooth trip
11826,11826,3,4,Driver was very polite
11827,11827,,,Car could be cleaner
11829,11829,5,5,Car could be cleaner
11830,11830,5,4,A bit late to pickup
11831,11831,4,4,Excellent service
11832,11832,4,5,Took a longer route than expected
11834,11834,4,4,
11837,11837,4,5,Took a longer route than expected
11839,11839,4,4,A bit late to pickup
11840,11840,5,3,Excellent service
11841,11841,4,3,"Great ride, on time!"
11842,11842,,,Car could be cleaner
11844,11844,4,5,Took a longer route than expected
11846,11846,4,5,A bit late to pickup
11847,11847,,,Car could be cleaner
11848,11848,4,5,Car could be cleaner
11849,11849,4,5,Took a longer route than expected
11851,11851,3,5,
11852,11852,5,3,
11854,11854,4,4,Car could be cleaner
11855,11855,4,5,
11856,11856,4,5,
11857,11857,,,A bit late to pickup
11858,11858,4,5,A bit late to pickup
11859,11859,4,5,Car could be cleaner
11860,11860,5,4,Smooth trip
11861,11861,5,4,
11864,11864,4,5,"Great ride, on time!"
11866,11866,5,5,A bit late to pickup
11867,11867,,,Car could be cleaner
11868,11868,,,Took a longer route than expected
11872,11872,5,5,Smooth trip
11873,11873,4,5,Smooth trip
11875,11875,5,4,
11877,11877,,,
11879,11879,4,5,
11880,11880,4,4,A bit late to pickup
11881,11881,5,5,
11883,11883,4,5,A bit late to pickup
11884,11884,5,4,Car could be cleaner
11885,11885,5,5,Smooth trip
11886,11886,5,5,
11887,11887,4,5,
11890,11890,5,5,Car could be cleaner
11892,11892,4,5,"Great ride, on time!"
11893,11893,5,5,
11895,11895,5,4,Car could be cleaner
11896,11896,4,4,Driver was very polite
11897,11897,5,5,Excellent service
11899,11899,5,4,A bit late to pickup
11901,11901,4,4,A bit late to pickup
11902,11902,5,5,Smooth trip
11903,11903,5,5,
11904,11904,4,4,Smooth trip
11906,11906,4,4,Excellent service
11907,11907,5,5,
11908,11908,3,5,"Great ride, on time!"
11909,11909,,,Took a longer route than expected
11910,11910,4,3,"Great ride, on time!"
11911,11911,4,5,"Great ride, on time!"
11912,11912,,,
11913,11913,4,5,Car could be cleaner
11917,11917,4,4,
11919,11919,5,5,
11921,11921,4,4,Smooth trip
11923,11923,3,5,
11924,11924,,,"Great ride, on time!"
11925,11925,4,5,Smooth trip
11926,11926,,,Excellent service
11928,11928,,,Smooth trip
11929,11929,3,4,
11930,11930,3,3,
11931,11931,4,4,Excellent service
11932,11932,5,4,A bit late to pickup
11933,11933,3,4,Car could be cleaner
11934,11934,,,Took a longer route than expected
11935,11935,,,Driver was very polite
11936,11936,4,5,
11937,11937,,,Smooth trip
11938,11938,,,Excellent service
11939,11939,5,5,A bit late to pickup
11940,11940,4,5,Driver was very polite
11941,11941,4,5,Smooth trip
11944,11944,5,4,Smooth trip
11945,11945,4,5,A bit late to pickup
11946,11946,4,4,Excellent service
11947,11947,4,5,Excellent service
11948,11948,5,5,Excellent service
11950,11950,4,5,
11951,11951,,,
11952,11952,5,5,
11953,11953,4,4,Smooth trip
11954,11954,5,4,Driver was very polite
11955,11955,,,"Great ride, on time!"
11956,11956,4,5,Driver was very polite
11957,11957,4,5,
11958,11958,,,Car could be cleaner
11959,11959,4,5,Car could be cleaner
11960,11960,5,5,Took a longer route than expected
11961,11961,4,3,A bit late to pickup
11962,11962,4,4,Driver was very polite
11963,11963,4,4,
11964,11964,5,5,
11965,11965,5,4,
11966,11966,3,4,Smooth trip
11967,11967,4,5,
11968,11968,5,4,Took a longer route than expected
11969,11969,5,5,A bit late to pickup
11970,11970,4,4,
11971,11971,4,5,
11974,11974,4,5,Took a longer route than expected
11977,11977,5,4,Smooth trip
11979,11979,4,3,Smooth trip
11980,11980,5,4,Smooth trip
11982,11982,,,Took a longer route than expected
11983,11983,5,5,Smooth trip
11984,11984,4,4,Car could be cleaner
11985,11985,4,4,Took a longer route than expected
11986,11986,5,5,"Great ride, on time!"
11987,11987,,,Car could be cleaner
11988,11988,3,4,Took a longer route than expected
11990,11990,4,5,Smooth trip
11992,11992,,,"Great ride, on time!"
11993,11993,5,5,Car could be cleaner
11994,11994,5,4,"Great ride, on time!"
11995,11995,5,5,"Great ride, on time!"
11996,11996,,,
11999,11999,5,4,Took a longer route than expected
12000,12000,4,4,Smooth trip
12001,12001,5,5,Excellent service
12004,12004,4,5,
12005,12005,3,4,Excellent service
12007,12007,5,5,Driver was very polite
12008,12008,5,5,Driver was very polite
12010,12010,,,A bit late to pickup
12012,12012,5,4,Took a longer route than expected
12015,12015,5,5,Smooth trip
12016,12016,4,4,Smooth trip
12017,12017,4,4,Car could be cleaner
12018,12018,5,3,
12019,12019,5,4,
12020,12020,5,5,A bit late to pickup
12021,12021,4,5,Excellent service
12022,12022,5,5,
12024,12024,4,3,"Great ride, on time!"
12025,12025,4,5,Excellent service
12026,12026,4,4,A bit late to pickup
12027,12027,5,5,
12028,12028,5,4,"Great ride, on time!"
12029,12029,4,3,
12030,12030,4,4,Smooth trip
12031,12031,4,4,Excellent service
12033,12033,4,5,
12034,12034,3,4,
12036,12036,4,5,
12037,12037,4,5,
12038,12038,4,4,Took a longer route than expected
12039,12039,5,4,Car could be cleaner
12040,12040,3,4,Driver was very polite
12041,12041,3,4,Driver was very polite
12042,12042,4,5,A bit late to pickup
12044,12044,5,4,Took a longer route than expected
12045,12045,4,5,
12046,12046,5,4,Excellent service
12047,12047,5,4,Driver was very polite
12048,12048,,,
12052,12052,,,"Great ride, on time!"
12053,12053,5,4,Smooth trip
12054,12054,4,4,A bit late to pickup
12055,12055,4,5,Excellent service
12057,12057,5,3,
12059,12059,3,5,"Great ride, on time!"
12060,12060,5,4,Excellent service
12062,12062,4,5,A bit late to pickup
12063,12063,3,4,
12064,12064,4,5,
12066,12066,4,4,Driver was very polite
12068,12068,5,5,
12069,12069,4,5,A bit late to pickup
12070,12070,5,4,
12074,12074,,,Driver was very polite
12075,12075,5,3,A bit late to pickup
12076,12076,4,5,Car could be cleaner
12077,12077,3,5,A bit late to pickup
12079,12079,4,4,
12080,12080,4,5,A bit late to pickup
12081,12081,5,5,Smooth trip
12082,12082,5,4,
12083,12083,5,5,Car could be cleaner
12084,12084,,,
12085,12085,5,5,Took a longer route than expected
12087,12087,4,4,
12089,12089,5,5,Driver was very polite
12092,12092,4,4,
12093,12093,5,5,
12094,12094,5,4,Took a longer route than expected
12095,12095,4,4,Took a longer route than expected
12096,12096,5,5,Excellent service
12097,12097,5,5,Car could be cleaner
12100,12100,5,4,Took a longer route than expected
12102,12102,5,4,"Great ride, on time!"
12103,12103,4,5,Car could be cleaner
12104,12104,4,4,Car could be cleaner
12105,12105,4,4,Smooth trip
12106,12106,5,5,
12107,12107,3,4,
12108,12108,4,5,A bit late to pickup
12111,12111,5,4,
12113,12113,5,3,A bit late to pickup
12115,12115,4,4,"Great ride, on time!"
12116,12116,,,Smooth trip
12118,12118,5,5,A bit late to pickup
12119,12119,3,5,Car could be cleaner
12120,12120,5,5,
12121,12121,,,A bit late to pickup
12122,12122,5,5,
12123,12123,4,4,
12124,12124,5,3,
12125,12125,4,4,Excellent service
12126,12126,4,4,Took a longer route than expected
12127,12127,4,4,
12128,12128,5,5,Smooth trip
12129,12129,4,5,Car could be cleaner
12131,12131,,,Took a longer route than expected
12132,12132,5,5,
12133,12133,,,
12134,12134,,,Smooth trip
12135,12135,5,4,
12136,12136,5,4,A bit late to pickup
12138,12138,5,4,
12139,12139,5,5,Excellent service
12140,12140,4,5,Smooth trip
12141,12141,3,3,Excellent service
12143,12143,,,Smooth trip
12145,12145,5,4,
12146,12146,4,5,Took a longer route than expected
12147,12147,4,4,Took a longer route than expected
12150,12150,4,4,
12152,12152,4,5,Smooth trip
12154,12154,5,3,Took a longer route than expected
12158,12158,5,5,Excellent service
12159,12159,4,4,A bit late to pickup
12160,12160,5,4,A bit late to pickup
12161,12161,5,4,Car could be cleaner
12162,12162,5,4,
12163,12163,4,5,
12164,12164,4,5,Smooth trip
12165,12165,,,Took a longer route than expected
12167,12167,4,4,
12168,12168,5,4,Smooth trip
12169,12169,5,5,"Great ride, on time!"
12171,12171,,,"Great ride, on time!"
12172,12172,4,4,"Great ride, on time!"
12173,12173,5,4,
12176,12176,5,5,Driver was very polite
12179,12179,,,A bit late to pickup
12180,12180,,,
12181,12181,5,4,Took a longer route than expected
12183,12183,4,5,Driver was very polite
12185,12185,4,4,Excellent service
12187,12187,4,4,
12188,12188,4,4,Took a longer route than expected
12189,12189,4,3,Driver was very polite
12190,12190,5,4,"Great ride, on time!"
12191,12191,5,4,Driver was very polite
12193,12193,4,4,Excellent service
12194,12194,4,4,
12195,12195,3,4,Car could be cleaner
12198,12198,,,Driver was very polite
12199,12199,5,4,Driver was very polite
12200,12200,4,4,Excellent service
12205,12205,4,5,Smooth trip
12206,12206,4,5,A bit late to pickup
12207,12207,5,4,Took a longer route than expected
12210,12210,5,5,Excellent service
12211,12211,3,4,Smooth trip
12213,12213,5,4,Excellent service
12214,12214,4,5,Car could be cleaner
12216,12216,,,Took a longer route than expected
12217,12217,4,5,Driver was very polite
12218,12218,4,4,"Great ride, on time!"
12221,12221,5,4,"Great ride, on time!"
12222,12222,3,4,Driver was very polite
12223,12223,,,Smooth trip
12224,12224,,,Smooth trip
12226,12226,5,5,Excellent service
12227,12227,5,5,Excellent service
12228,12228,,,Car could be cleaner
12229,12229,4,4,Took a longer route than expected
12231,12231,,,
12232,12232,,,Car could be cleaner
12234,12234,5,5,"Great ride, on time!"
12235,12235,5,4,
12236,12236,5,4,Took a longer route than expected
12237,12237,4,4,Car could be cleaner
12239,12239,5,3,Excellent service
12240,12240,5,4,"Great ride, on time!"
12241,12241,5,4,
12242,12242,,,A bit late to pickup
12243,12243,5,4,"Great ride, on time!"
12244,12244,4,4,
12245,12245,4,5,Car could be cleaner
12246,12246,4,5,"Great ride, on time!"
12247,12247,5,5,
12248,12248,4,5,Excellent service
12249,12249,4,5,
12250,12250,4,4,Driver was very polite
12251,12251,4,5,
12253,12253,4,5,
12254,12254,4,4,Smooth trip
12255,12255,3,5,Took a longer route than expected
12256,12256,4,4,
12257,12257,,,Took a longer route than expected
12258,12258,5,5,Excellent service
12260,12260,4,4,
12261,12261,5,4,Car could be cleaner
12262,12262,4,5,Car could be cleaner
12264,12264,5,5,
12266,12266,5,5,
12267,12267,5,5,Smooth trip
12268,12268,4,4,Car could be cleaner
12269,12269,4,4,Excellent service
12270,12270,,,Took a longer route than expected
12271,12271,5,5,Car could be cleaner
12272,12272,5,4,
12273,12273,5,4,Excellent service
12274,12274,4,4,Took a longer route than expected
12275,12275,4,4,
12276,12276,5,5,
12281,12281,3,4,Driver was very polite
12282,12282,5,4,Driver was very polite
12283,12283,5,4,Driver was very polite
12284,12284,5,4,A bit late to pickup
12285,12285,,,Driver was very polite
12286,12286,4,4,Driver was very polite
12287,12287,4,5,Driver was very polite
12289,12289,5,4,
12290,12290,4,4,Car could be cleaner
12291,12291,5,5,"Great ride, on time!"
12292,12292,4,4,Smooth trip
12293,12293,4,5,Excellent service
12294,12294,5,4,Excellent service
12295,12295,3,5,"Great ride, on time!"
12297,12297,3,5,
12298,12298,5,3,"Great ride, on time!"
12299,12299,4,3,
12300,12300,5,4,A bit late to pickup
12301,12301,5,4,
12304,12304,,,"Great ride, on time!"
12305,12305,,,"Great ride, on time!"
12306,12306,4,4,
12307,12307,5,5,
12308,12308,5,4,Excellent service
12309,12309,5,5,A bit late to pickup
12310,12310,4,5,Took a longer route than expected
12311,12311,5,5,Car could be cleaner
12312,12312,4,5,
12313,12313,4,5,Smooth trip
12314,12314,5,5,Excellent service
12315,12315,5,3,A bit late to pickup
12317,12317,4,4,
12318,12318,,,
12320,12320,,,A bit late to pickup
12321,12321,4,5,Driver was very polite
12322,12322,5,4,
12324,12324,4,5,Driver was very polite
12325,12325,5,4,
12326,12326,5,4,Driver was very polite
12327,12327,4,4,
12328,12328,4,4,
12329,12329,4,3,
12330,12330,4,4,Excellent service
12332,12332,,,
12333,12333,4,5,Driver was very polite
12334,12334,,,"Great ride, on time!"
12335,12335,4,5,Driver was very polite
12336,12336,4,4,
12337,12337,4,4,Excellent service
12338,12338,5,5,Took a longer route than expected
12340,12340,5,4,Car could be cleaner
12341,12341,5,5,
12342,12342,5,5,
12343,12343,5,5,Smooth trip
12346,12346,,,Took a longer route than expected
12347,12347,5,5,Excellent service
12349,12349,4,5,Driver was very polite
12350,12350,,,Car could be cleaner
12351,12351,5,5,Driver was very polite
12353,12353,,,A bit late to pickup
12354,12354,5,4,Car could be cleaner
12355,12355,5,4,Car could be cleaner
12356,12356,,,
12357,12357,,,
12358,12358,4,4,
12359,12359,,,Car could be cleaner
12360,12360,4,4,Smooth trip
12361,12361,4,5,"Great ride, on time!"
12363,12363,5,4,Excellent service
12364,12364,3,4,"Great ride, on time!"
12365,12365,,,
12366,12366,4,4,
12367,12367,,,Driver was very polite
12368,12368,5,5,Took a longer route than expected
12369,12369,,,Smooth trip
12370,12370,5,5,"Great ride, on time!"
12372,12372,5,4,
12374,12374,3,5,Took a longer route than expected
12375,12375,4,4,
12376,12376,4,5,Smooth trip
12377,12377,4,4,Driver was very polite
12378,12378,5,4,"Great ride, on time!"
12379,12379,5,4,
12381,12381,5,5,Smooth trip
12382,12382,,,Driver was very polite
12384,12384,5,5,A bit late to pickup
12385,12385,5,4,A bit late to pickup
12386,12386,,,
12388,12388,3,5,"Great ride, on time!"
12389,12389,4,5,Car could be cleaner
12390,12390,4,5,Car could be cleaner
12392,12392,,,
12394,12394,3,4,Driver was very polite
12395,12395,4,4,A bit late to pickup
12396,12396,4,4,Car could be cleaner
12397,12397,,,Took a longer route than expected
12398,12398,4,5,
12399,12399,5,5,Smooth trip
12400,12400,5,4,Car could be cleaner
12401,12401,5,5,
12402,12402,5,5,
12403,12403,5,4,Smooth trip
12404,12404,3,5,
12405,12405,5,4,
12406,12406,3,4,Driver was very polite
12407,12407,4,4,"Great ride, on time!"
12408,12408,3,4,Smooth trip
12409,12409,5,4,Car could be cleaner
12410,12410,4,4,Excellent service
12412,12412,5,4,
12414,12414,5,5,
12415,12415,4,4,Smooth trip
12416,12416,5,4,Smooth trip
12417,12417,3,4,Took a longer route than expected
12418,12418,4,5,"Great ride, on time!"
12420,12420,5,5,A bit late to pickup
12422,12422,4,4,A bit late to pickup
12425,12425,5,5,"Great ride, on time!"
12426,12426,4,4,Took a longer route than expected
12427,12427,5,5,
12429,12429,,,Smooth trip
12430,12430,5,4,Excellent service
12431,12431,,,
12432,12432,4,4,
